F=003A S=0017 B=0A37 P=009D C=0229 R=68B0 N=CDA8 V=FF85E4
F=003A S=0017 B=0A4A P=009D C=004C R=1C94 N=D318 V=FF8629
F=003A S=0007 B=0A5D P=0055 C=004C R=35C5 N=D888 V=FFE59C
F=003A S=0000 B=0A71 P=009D C=004C R=35C5 N=DDF8 V=FFE59C
F=003A S=0000 B=0A84 P=009D C=004C R=35C5 N=E368 V=FFE59C
F=003A S=0000 B=0A97 P=0055 C=004C R=35C5 N=E8D8 V=FFE59C
F=003A S=0000 B=0AAB P=009D C=004C R=35C5 N=EE48 V=FFE59C
F=003A S=000A B=0AD6 P=0000 C=004C R=35C5 N=F3B8 V=FFE59C
F=003A S=001B B=0B10 P=0000 C=004C R=35C5 N=F928 V=FFE59C
F=003A S=001A B=0B4A P=0000 C=004C R=35C5 N=FE98 V=FFE59C
F=003A S=001A B=0B84 P=0000 C=004C R=35C5 N=0408 V=FFE59C
F=003A S=001A B=0BBE P=0000 C=004C R=35C5 N=0978 V=FFE59C
F=003A S=001B B=0BF8 P=0000 C=004C R=35C5 N=0EE8 V=FFE59C
F=003A S=001B B=0C32 P=0000 C=004C R=35C5 N=1458 V=FFE59C
F=003A S=001A B=0C6C P=0000 C=004C R=35C5 N=19C8 V=FFE59C
F=003A S=001B B=0CA6 P=0000 C=004C R=35C5 N=1F38 V=FFE59C
F=003A S=001A B=0CE0 P=0000 C=004C R=35C5 N=24A8 V=FFE59C
F=003A S=001A B=0D1A P=0000 C=004C R=35C5 N=2A18 V=FFE59C
F=003A S=001B B=0D54 P=0000 C=004C R=35C5 N=2F88 V=FFE59C
F=003A S=001A B=0D8E P=0000 C=004C R=35C5 N=34F8 V=FFE59C
F=003A S=001B B=0DC8 P=0000 C=004C R=35C5 N=3A68 V=FFE59C
F=003A S=001A B=0E02 P=0000 C=004C R=35C5 N=3FD8 V=FFE59C
F=003A S=001B B=0E3C P=0000 C=004C R=35C5 N=4548 V=FFE59C
F=003A S=001A B=0E76 P=0000 C=004C R=35C5 N=4AB8 V=FFE59C
F=003A S=001A B=0EB0 P=0000 C=004C R=35C5 N=5028 V=FFE59C
F=003A S=001B B=0EEA P=0000 C=004C R=35C5 N=5598 V=FFE59C
F=003A S=001A B=0F24 P=0000 C=004C R=35C5 N=5B08 V=FFE59C
F=003A S=001B B=0F5E P=0000 C=004C R=35C5 N=6078 V=FFE59C
F=003A S=001B B=0F98 P=0000 C=004C R=35C5 N=65E8 V=FFE59C
F=003A S=001A B=0FD2 P=0000 C=004C R=35C5 N=6B58 V=FFE59C
F=003A S=001A B=100C P=0000 C=004C R=35C5 N=70C8 V=FFE59C
F=003A S=001A B=1046 P=0000 C=004C R=35C5 N=7638 V=FFE59C
F=003A S=001B B=1080 P=0000 C=004C R=35C5 N=7BA8 V=FFE59C
F=003A S=001A B=10BA P=0000 C=004C R=35C5 N=8118 V=FFE59C
F=003A S=001B B=10F4 P=0000 C=004C R=35C5 N=8688 V=FFE59C
F=003A S=001B B=112E P=0000 C=004C R=35C5 N=8BF8 V=FFE59C
F=003A S=001A B=1168 P=0000 C=004C R=35C5 N=9168 V=FFE59C
F=003A S=001A B=11A2 P=0000 C=004C R=35C5 N=96D8 V=FFE59C
F=003A S=001A B=11DC P=0000 C=004C R=35C5 N=9C48 V=FFE59C
F=003A S=001B B=1216 P=0000 C=004C R=35C5 N=A1B8 V=FFE59C
F=003A S=001B B=1250 P=0000 C=004C R=35C5 N=A728 V=FFE59C
F=003A S=001A B=128A P=0000 C=004C R=35C5 N=AC98 V=FFE59C
F=003A S=001B B=12C4 P=0000 C=004C R=35C5 N=B208 V=FFE59C
